x,y,cluster
7.3776655,6.544984,-1
7.015876,11.199225,-1
3.544583,6.2312293,-1
9.8940115,11.426433,-1
12.414928,9.671916,-1
11.150401,10.128112,-1
10.157921,14.846194,-1
9.690177,11.704932,-1
11.10495,10.308352,-1
7.5299573,6.9758687,-1
6.7543163,5.9111567,-1
8.373173,6.1263146,-1
3.553656,6.2293096,-1
3.5278358,6.2970676,-1
8.16656,7.837739,-1
9.488134,2.9180899,15
3.5155666,6.227101,-1
12.93146,10.263558,-1
12.041931,10.085516,44
3.6542397,6.1513605,-1
10.499601,6.5262465,-1
5.63647,6.882571,-1
12.049978,10.4239025,-1
9.25477,3.1107132,-1
7.9181576,7.084132,-1
9.384528,3.0648239,-1
3.5169787,6.227157,-1
3.5246825,6.215825,-1
10.30038,5.0308185,-1
6.0928793,6.037975,-1
6.033103,6.0838413,-1
5.99979,7.2477493,-1
3.5256822,6.2252192,-1
10.449326,10.85028,-1
3.52326,6.228316,-1
3.532319,6.2250185,-1
9.287812,2.8982275,-1
8.111252,8.405538,-1
3.5291598,6.223336,-1
7.1619854,11.367279,-1
9.382643,3.0325928,-1
13.421188,12.4073715,-1
8.564006,9.854859,-1
3.5293453,6.231204,-1
11.126693,9.137574,-1
9.431037,3.131633,-1
8.744288,10.289417,-1
10.304851,5.0304856,-1
3.5679026,6.253761,-1
3.5241668,6.2308793,-1
13.713838,10.352724,-1
7.170569,6.8445396,-1
9.595966,10.008628,-1
7.5734415,10.723088,-1
9.456035,2.9402008,15
3.5074956,6.2294564,-1
10.309105,5.046875,-1
10.303625,5.037935,-1
12.754115,12.203553,-1
11.745699,9.937626,-1
12.646426,11.49738,-1
12.633638,10.8820915,-1
3.5712917,6.2612114,-1
3.532336,6.2174854,-1
3.6526742,6.28978,-1
8.424001,6.394211,-1
3.6075172,6.2354302,-1
3.550614,6.2334986,-1
3.530353,6.221802,-1
3.5181224,6.2252493,-1
5.591237,2.6913383,-1
6.0624475,6.9383264,-1
10.324094,6.6551776,-1
6.1323533,6.478007,-1
7.9180627,6.317446,-1
3.6018088,6.257769,-1
3.5407705,6.303219,-1
5.7633414,7.1338964,-1
8.817046,11.748539,-1
3.7335339,6.323981,-1
10.268595,5.1551075,-1
3.5316262,6.218315,-1
7.631561,8.137952,-1
12.598578,8.245603,-1
7.3827734,7.764486,-1
7.3629265,8.225817,-1
8.280129,6.685241,-1
3.58758,6.1947513,-1
5.655395,6.9771123,-1
3.5475903,6.235919,-1
3.6224086,6.245562,-1
9.101021,9.6422415,-1
3.5091214,6.207864,-1
10.296309,5.028595,-1
9.537176,3.1514559,-1
3.5319405,6.221688,-1
5.7585864,7.2174363,-1
3.4959562,6.2168503,-1
3.5494537,6.2075377,-1
12.745282,10.974447,-1
5.57535,6.9937224,-1
9.734135,10.108295,-1
12.810257,6.578555,-1
